,id,qid1,qid2,question1,question2,is_duplicate
333532,333532,653986,653987,Can somebody recommend a YouTuber who plays games and doesn't scream or overreact for no reason?,Why doesn't YouTube allow features like playing on repeat?,0
395335,395335,772538,772539,Do employees at Analogic have a good work-life balance? Does this differ across positions and departments?,Do employees at NCR have a good work-life balance? Does this differ across positions and departments?,0
141677,141677,280425,280426,Which is the richest state of India?,Which is the richest state in India?,1
122575,122575,242895,242896,What are the strongest majors in terms of job prospects and what are the weakest majors at Eastern University?,What are the strongest majors in terms of job prospects and what are the weakest majors at Bellevue University?,0
44177,44177,87974,87975,How should we improve communication skills?,What is the best way to improve our communication skills?,1
244153,244153,480847,480848,"What is the Arizona bark scorpion, and how do animal species in the Sonoran Desert compare to species in the Simpson Desert?","What is the Arizona bark scorpion, and how do animal species in the Sonoran Desert compare to species in the Kyzylkum Desert?",0
130536,130536,258551,258552,What are coral reefs? How are they formed?,How do coral reefs form?,1
20722,20722,41341,41342,How do I earn money through blogging in India as a beginner?,How do I earn money by blogging in India?,1
15760,15760,31455,31456,What are best ebooks for demonology real life cases?,What are the best C++ books?,0
88595,88595,175916,175917,What's the difference between 親しみやすい and あいそうがいい?,"What is the difference between "":="" and ""::="" ?",0
394416,394416,770791,770792,How did Rahul Dravid play for Scotland?,Is Rahul Dravid the true Mr. Cricket?,0
113025,113025,224087,224088,What are the best cheap laptops for a programmer?,"What laptop is cheap, portable and able to handle intensive programming for a beginning programmer?",0
